source_id,source_name,permanent_identifier,location,extracted_requirement,classification,implementation_component,verification
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Abstract; Section I","One unified controller should support grid-connected and standalone BESS operation and efficient power distribution.",DIRECT_SOURCE,"Unified controller and supervisor","Mode and scenario tests"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section I","The framework should support accurate active/reactive power sharing, grid-tied voltage/frequency support, secondary P/Q references, and synchronization with minimum transients.",DIRECT_SOURCE,"P/Q regulation; grid support; synchronization","BESS-MODE-001/002/005 and scenarios A/E"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section II; Figures 1 and 2 descriptions","The BESS includes a DC/AC inverter and a DC/DC interface; the DC/DC DSP control is outside the paper scope.",DIRECT_SOURCE,"Averaged converter boundary; DC availability interface","Plant build and boundary tests"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section III.B","Grid-following operation uses a PLL and current control, behaves as a current source, and follows real/reactive power references.",DIRECT_SOURCE,"Grid-following controller","Scenario A and independent transform/power tests"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section III.B; Tables I and II","Reported grid-tied/grid-supporting cases exercise 10 MW active power and 8 MW with +4 or -4 MVar.",DIRECT_SOURCE,"Normalized P/Q scenarios based on 10 MVA","Scenario A and source-case coverage"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Figures 3 and 4; PDF pages 3 and 4","CONFLICT: Figure cases show 8 MW active and 2 Mvar reactive events near 3 seconds, conflicting with the +/-4 table variants.",DIRECT_SOURCE,"Source-case variants retained without claiming numeric reproduction","Source-ledger and documentation audit only"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section III.C","Grid-forming control behaves as a voltage source, uses P-omega and Q-V relationships, and need not depend on a PLL.",DIRECT_SOURCE,"Grid-forming droop controller","Scenarios C/D and droop checks"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section III.C; Tables III and IV","Reported grid-forming/VSG cases exercise no load, 10 MW resistive load, 8 MVar inductive load, and combined 8 MW/+4 MVar load.",DIRECT_SOURCE,"Normalized islanded scenarios exercise load classes but do not reproduce conflicting paper values or VSG","Documentation comparison audit only"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Figure 5; Tables III and IV; PDF pages 5 and 6","CONFLICT: Printed 8e6 MVar/MW entries and 8-versus-10 MW mixed-load text are internally inconsistent and must not be treated as exact parameters.",DIRECT_SOURCE,"Conflicts disclosed; centralized starter parameters used; published numeric cases not reproduced","Source-ledger and documentation audit only"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section III.C VSG mode","VSG behavior emulates rotor dynamics and steady-state P-omega droop; the reported AVR response becomes apparent after about 100-200 ms.",DIRECT_SOURCE,"Not implemented: VSG inertia swing equation AVR and governor are outside this stiff-GFM translation","Documentation exclusion audit only"
